"Title","CPIH INDEX 04.5.1 : ELECTRICITY 2015=100"
"CDID","L53E"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","Index, base year = 100"
"Release date","14-09-2022"
"Next release","19 October 2022"
"Important notes",
"1988","34.9"
"1989","37.4"
"1990","40.4"
"1991","44.5"
"1992","46.8"
"1993","46.7"
"1994","48.2"
"1995","48.9"
"1996","48.7"
"1997","46.3"
"1998","44.2"
"1999","43.7"
"2000","42.8"
"2001","42.4"
"2002","42.6"
"2003","43.0"
"2004","45.6"
"2005","50.4"
"2006","61.4"
"2007","66.3"
"2008","76.6"
"2009","80.1"
"2010","78.1"
"2011","83.8"
"2012","88.5"
"2013","95.1"
"2014","100.3"
"2015","100.0"
"2016","99.8"
"2017","106.5"
"2018","115.7"
"2019","124.1"
"2020","124.3"
"2021","132.5"
"1988 Q1","33.1"
"1988 Q2","34.5"
"1988 Q3","35.9"
"1988 Q4","35.9"
"1989 Q1","35.9"
"1989 Q2","37.1"
"1989 Q3","38.3"
"1989 Q4","38.3"
"1990 Q1","38.3"
"1990 Q2","40.0"
"1990 Q3","41.8"
"1990 Q4","41.8"
"1991 Q1","41.8"
"1991 Q2","43.9"
"1991 Q3","46.2"
"1991 Q4","46.2"
"1992 Q1","46.2"
"1992 Q2","46.6"
"1992 Q3","47.2"
"1992 Q4","47.2"
"1993 Q1","47.2"
"1993 Q2","46.8"
"1993 Q3","46.4"
"1993 Q4","46.3"
"1994 Q1","45.8"
"1994 Q2","48.9"
"1994 Q3","49.2"
"1994 Q4","48.9"
"1995 Q1","48.9"
"1995 Q2","48.8"
"1995 Q3","48.9"
"1995 Q4","48.8"
"1996 Q1","48.8"
"1996 Q2","48.9"
"1996 Q3","48.9"
"1996 Q4","48.0"
"1997 Q1","47.4"
"1997 Q2","47.2"
"1997 Q3","46.1"
"1997 Q4","44.6"
"1998 Q1","44.6"
"1998 Q2","44.5"
"1998 Q3","43.8"
"1998 Q4","43.8"
"1999 Q1","43.8"
"1999 Q2","43.7"
"1999 Q3","43.6"
"1999 Q4","43.6"
"2000 Q1","43.6"
"2000 Q2","43.0"
"2000 Q3","42.3"
"2000 Q4","42.3"
"2001 Q1","42.3"
"2001 Q2","42.3"
"2001 Q3","42.4"
"2001 Q4","42.5"
"2002 Q1","42.5"
"2002 Q2","42.6"
"2002 Q3","42.6"
"2002 Q4","42.6"
"2003 Q1","42.7"
"2003 Q2","42.8"
"2003 Q3","43.2"
"2003 Q4","43.4"
"2004 Q1","44.1"
"2004 Q2","45.2"
"2004 Q3","45.8"
"2004 Q4","47.2"
"2005 Q1","49.2"
"2005 Q2","49.8"
"2005 Q3","50.2"
"2005 Q4","52.6"
"2006 Q1","54.7"
"2006 Q2","60.4"
"2006 Q3","63.4"
"2006 Q4","66.9"
"2007 Q1","68.3"
"2007 Q2","67.0"
"2007 Q3","65.0"
"2007 Q4","64.8"
"2008 Q1","69.7"
"2008 Q2","73.5"
"2008 Q3","78.2"
"2008 Q4","85.1"
"2009 Q1","84.8"
"2009 Q2","79.0"
"2009 Q3","78.5"
"2009 Q4","78.2"
"2010 Q1","78.2"
"2010 Q2","78.0"
"2010 Q3","78.0"
"2010 Q4","78.2"
"2011 Q1","80.4"
"2011 Q2","81.2"
"2011 Q3","83.8"
"2011 Q4","89.7"
"2012 Q1","88.8"
"2012 Q2","87.7"
"2012 Q3","87.7"
"2012 Q4","89.9"
"2013 Q1","94.1"
"2013 Q2","94.5"
"2013 Q3","94.8"
"2013 Q4","96.9"
"2014 Q1","100.9"
"2014 Q2","100.2"
"2014 Q3","100.2"
"2014 Q4","100.2"
"2015 Q1","100.2"
"2015 Q2","99.9"
"2015 Q3","99.9"
"2015 Q4","99.9"
"2016 Q1","99.9"
"2016 Q2","99.7"
"2016 Q3","99.7"
"2016 Q4","99.7"
"2017 Q1","100.1"
"2017 Q2","106.0"
"2017 Q3","108.7"
"2017 Q4","111.1"
"2018 Q1","111.1"
"2018 Q2","113.0"
"2018 Q3","117.4"
"2018 Q4","121.2"
"2019 Q1","115.3"
"2019 Q2","127.9"
"2019 Q3","127.9"
"2019 Q4","125.2"
"2020 Q1","125.2"
"2020 Q2","125.4"
"2020 Q3","125.3"
"2020 Q4","121.2"
"2021 Q1","121.2"
"2021 Q2","132.3"
"2021 Q3","132.5"
"2021 Q4","144.0"
"2022 Q1","144.5"
"2022 Q2","203.2"
"1988 JAN","33.1"
"1988 FEB","33.1"
"1988 MAR","33.1"
"1988 APR","33.7"
"1988 MAY","34.6"
"1988 JUN","35.4"
"1988 JUL","35.9"
"1988 AUG","35.9"
"1988 SEP","35.9"
"1988 OCT","35.9"
"1988 NOV","35.9"
"1988 DEC","35.9"
"1989 JAN","35.9"
"1989 FEB","35.9"
"1989 MAR","35.9"
"1989 APR","36.4"
"1989 MAY","37.1"
"1989 JUN","37.9"
"1989 JUL","38.3"
"1989 AUG","38.3"
"1989 SEP","38.3"
"1989 OCT","38.3"
"1989 NOV","38.3"
"1989 DEC","38.3"
"1990 JAN","38.3"
"1990 FEB","38.3"
"1990 MAR","38.3"
"1990 APR","38.7"
"1990 MAY","40.1"
"1990 JUN","41.1"
"1990 JUL","41.8"
"1990 AUG","41.8"
"1990 SEP","41.8"
"1990 OCT","41.8"
"1990 NOV","41.8"
"1990 DEC","41.8"
"1991 JAN","41.8"
"1991 FEB","41.8"
"1991 MAR","41.8"
"1991 APR","42.5"
"1991 MAY","43.9"
"1991 JUN","45.3"
"1991 JUL","46.2"
"1991 AUG","46.2"
"1991 SEP","46.2"
"1991 OCT","46.2"
"1991 NOV","46.2"
"1991 DEC","46.2"
"1992 JAN","46.2"
"1992 FEB","46.2"
"1992 MAR","46.2"
"1992 APR","46.3"
"1992 MAY","46.6"
"1992 JUN","47.0"
"1992 JUL","47.2"
"1992 AUG","47.2"
