"Title","CPIH INDEX 04.4.1 : WATER SUPPLY 2015=100"
"CDID","L53B"
"Source dataset ID","MM23"
"PreUnit",""
"Unit","Index, base year = 100"
"Release date","20-07-2022"
"Next release","17 August 2022"
"Important notes",
"1988","22.2"
"1989","25.6"
"1990","29.3"
"1991","34.7"
"1992","39.0"
"1993","42.5"
"1994","45.2"
"1995","47.7"
"1996","49.4"
"1997","51.2"
"1998","53.7"
"1999","55.8"
"2000","54.1"
"2001","54.7"
"2002","55.6"
"2003","57.4"
"2004","60.4"
"2005","67.4"
"2006","72.4"
"2007","76.8"
"2008","81.3"
"2009","85.1"
"2010","87.4"
"2011","90.9"
"2012","95.5"
"2013","98.9"
"2014","100.9"
"2015","100.0"
"2016","100.2"
"2017","101.5"
"2018","103.5"
"2019","106.2"
"2020","105.6"
"2021","107.1"
"1988 Q1","21.2"
"1988 Q2","22.5"
"1988 Q3","22.5"
"1988 Q4","22.5"
"1989 Q1","22.7"
"1989 Q2","26.7"
"1989 Q3","26.4"
"1989 Q4","26.5"
"1990 Q1","26.5"
"1990 Q2","30.2"
"1990 Q3","30.2"
"1990 Q4","30.2"
"1991 Q1","30.2"
"1991 Q2","36.2"
"1991 Q3","36.2"
"1991 Q4","36.2"
"1992 Q1","36.2"
"1992 Q2","40.0"
"1992 Q3","40.0"
"1992 Q4","40.0"
"1993 Q1","40.0"
"1993 Q2","43.3"
"1993 Q3","43.3"
"1993 Q4","43.3"
"1994 Q1","43.3"
"1994 Q2","45.9"
"1994 Q3","45.9"
"1994 Q4","45.9"
"1995 Q1","45.9"
"1995 Q2","48.4"
"1995 Q3","48.2"
"1995 Q4","48.2"
"1996 Q1","47.8"
"1996 Q2","50.0"
"1996 Q3","50.0"
"1996 Q4","50.0"
"1997 Q1","50.0"
"1997 Q2","51.6"
"1997 Q3","51.6"
"1997 Q4","51.6"
"1998 Q1","51.6"
"1998 Q2","54.4"
"1998 Q3","54.4"
"1998 Q4","54.4"
"1999 Q1","54.4"
"1999 Q2","56.3"
"1999 Q3","56.3"
"1999 Q4","56.3"
"2000 Q1","56.3"
"2000 Q2","53.3"
"2000 Q3","53.3"
"2000 Q4","53.3"
"2001 Q1","53.3"
"2001 Q2","55.2"
"2001 Q3","55.2"
"2001 Q4","55.2"
"2002 Q1","55.2"
"2002 Q2","55.7"
"2002 Q3","55.7"
"2002 Q4","55.7"
"2003 Q1","55.7"
"2003 Q2","57.9"
"2003 Q3","57.9"
"2003 Q4","57.9"
"2004 Q1","57.9"
"2004 Q2","61.2"
"2004 Q3","61.2"
"2004 Q4","61.2"
"2005 Q1","61.2"
"2005 Q2","69.5"
"2005 Q3","69.5"
"2005 Q4","69.5"
"2006 Q1","69.5"
"2006 Q2","73.4"
"2006 Q3","73.4"
"2006 Q4","73.4"
"2007 Q1","73.4"
"2007 Q2","77.9"
"2007 Q3","77.9"
"2007 Q4","77.9"
"2008 Q1","77.9"
"2008 Q2","82.4"
"2008 Q3","82.4"
"2008 Q4","82.4"
"2009 Q1","82.4"
"2009 Q2","86.0"
"2009 Q3","86.0"
"2009 Q4","86.0"
"2010 Q1","86.0"
"2010 Q2","87.8"
"2010 Q3","87.8"
"2010 Q4","87.8"
"2011 Q1","87.8"
"2011 Q2","91.9"
"2011 Q3","91.9"
"2011 Q4","91.9"
"2012 Q1","91.9"
"2012 Q2","96.7"
"2012 Q3","96.7"
"2012 Q4","96.7"
"2013 Q1","96.7"
"2013 Q2","99.7"
"2013 Q3","99.7"
"2013 Q4","99.7"
"2014 Q1","99.7"
"2014 Q2","101.3"
"2014 Q3","101.3"
"2014 Q4","101.3"
"2015 Q1","101.3"
"2015 Q2","99.6"
"2015 Q3","99.6"
"2015 Q4","99.6"
"2016 Q1","99.6"
"2016 Q2","100.5"
"2016 Q3","100.5"
"2016 Q4","100.5"
"2017 Q1","100.5"
"2017 Q2","101.8"
"2017 Q3","101.8"
"2017 Q4","101.8"
"2018 Q1","101.8"
"2018 Q2","104.1"
"2018 Q3","104.1"
"2018 Q4","104.1"
"2019 Q1","104.1"
"2019 Q2","106.9"
"2019 Q3","106.9"
"2019 Q4","106.9"
"2020 Q1","106.9"
"2020 Q2","105.1"
"2020 Q3","105.1"
"2020 Q4","105.1"
"2021 Q1","105.1"
"2021 Q2","107.8"
"2021 Q3","107.8"
"2021 Q4","107.8"
"2022 Q1","107.8"
"2022 Q2","112.4"
"1988 JAN","21.2"
"1988 FEB","21.2"
"1988 MAR","21.2"
"1988 APR","22.5"
"1988 MAY","22.5"
"1988 JUN","22.5"
"1988 JUL","22.5"
"1988 AUG","22.5"
"1988 SEP","22.5"
"1988 OCT","22.5"
"1988 NOV","22.5"
"1988 DEC","22.5"
"1989 JAN","22.7"
"1989 FEB","22.7"
"1989 MAR","22.7"
"1989 APR","27.2"
"1989 MAY","26.4"
"1989 JUN","26.4"
"1989 JUL","26.4"
"1989 AUG","26.4"
"1989 SEP","26.5"
"1989 OCT","26.5"
"1989 NOV","26.5"
"1989 DEC","26.5"
"1990 JAN","26.5"
"1990 FEB","26.5"
"1990 MAR","26.5"
"1990 APR","30.2"
"1990 MAY","30.2"
"1990 JUN","30.2"
"1990 JUL","30.2"
"1990 AUG","30.2"
"1990 SEP","30.2"
"1990 OCT","30.2"
"1990 NOV","30.2"
"1990 DEC","30.2"
"1991 JAN","30.2"
"1991 FEB","30.2"
"1991 MAR","30.2"
"1991 APR","36.2"
"1991 MAY","36.2"
"1991 JUN","36.2"
"1991 JUL","36.2"
"1991 AUG","36.2"
"1991 SEP","36.2"
"1991 OCT","36.2"
"1991 NOV","36.2"
"1991 DEC","36.2"
"1992 JAN","36.2"
"1992 FEB","36.2"
"1992 MAR","36.2"
"1992 APR","40.0"
"1992 MAY","40.0"
"1992 JUN","40.0"
"1992 JUL","40.0"
"1992 AUG","40.0"
"1992 SEP","40.0"
"1992 OCT","40.0"
"1992 NOV","40.0"
"1992 DEC","40.0"
"1993 JAN","40.0"
"1993 FEB","40.0"
"1993 MAR","40.0"
"1993 APR","43.3"
"1993 MAY","43.3"
"1993 JUN","43.3"
"1993 JUL","43.3"
"1993 AUG","43.3"
"1993 SEP","43.3"
"1993 OCT","43.3"
